drug_name,base_drug_name,drug_class,drug_sub_class,therapeutic_category,dosages,route_of_administration,formulation,search_text,source_files
Stannous Fluoride,stannous fluoride,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents,STOMATOLOGICAL PREPARATIONS,[],,,Drug: stannous fluoride | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Caries prophylactic agents | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Methsuximide,methsuximide,ANTIEPILEPTICS,Succinimide derivatives,ANTIEPILEPTICS,['300 mg'],oral,capsule,Drug: methsuximide | Dosages: [300 mg] | Form: capsule | Route: oral | Class: ANTIEPILEPTICS | Subclass: Succinimide derivatives | Therapeutic: ANTIEPILEPTICS,"['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Clonazepam,clonazepam,ANTIEPILEPTICS,Benzodiazepine derivatives,ANTIEPILEPTICS,"['0.125 mg', '0.25 mg', '0.5 mg', '1 mg', '2 mg']",oral,tablet,"Drug: clonazepam | Dosages: [0.125 mg, 0.25 mg, 0.5 mg, 1 mg, 2 mg] | Form: tablet | Route: oral | Class: ANTIEPILEPTICS | Subclass: Benzodiazepine derivatives | Therapeutic: ANTIEPILEPTICS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Eslicarbazepine,eslicarbazepine,ANTIEPILEPTICS,Carboxamide derivatives,ANTIEPILEPTICS,[],,,Drug: eslicarbazepine | Dosages: [] | Form:  | Route:  | Class: ANTIEPILEPTICS | Subclass: Carboxamide derivatives | Therapeutic: ANTIEPILEPTICS,['rxnorm_complete_drug_classification.csv']
Carbamazepine,carbamazepine,ANTIEPILEPTICS,Carboxamide derivatives,ANTIEPILEPTICS,"['100 mg', '200 mg', '5 ml']",oral,tablet,"Drug: carbamazepine | Dosages: [100 mg, 200 mg, 5 ml] | Form: tablet | Route: oral | Class: ANTIEPILEPTICS | Subclass: Carboxamide derivatives | Therapeutic: ANTIEPILEPTICS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Oxcarbazepine,oxcarbazepine,ANTIEPILEPTICS,Carboxamide derivatives,ANTIEPILEPTICS,"['150 mg', '300 mg', '5 ml', '600 mg']",oral,suspension,"Drug: oxcarbazepine | Dosages: [150 mg, 300 mg, 5 ml, 600 mg] | Form: suspension | Route: oral | Class: ANTIEPILEPTICS | Subclass: Carboxamide derivatives | Therapeutic: ANTIEPILEPTICS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Rufinamide,rufinamide,ANTIEPILEPTICS,Carboxamide derivatives,ANTIEPILEPTICS,"['200 mg', '40 mg/ml', '400 mg']",oral,tablet,"Drug: rufinamide | Dosages: [200 mg, 40 mg/ml, 400 mg] | Form: tablet | Route: oral | Class: ANTIEPILEPTICS | Subclass: Carboxamide derivatives | Therapeutic: ANTIEPILEPTICS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Vigabatrin,vigabatrin,ANTIEPILEPTICS,Fatty acid derivatives,ANTIEPILEPTICS,['500 mg'],oral,tablet,Drug: vigabatrin | Dosages: [500 mg] | Form: tablet | Route: oral | Class: ANTIEPILEPTICS | Subclass: Fatty acid derivatives | Therapeutic: ANTIEPILEPTICS,"['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Dipropylacetamide,dipropylacetamide,ANTIEPILEPTICS,Fatty acid derivatives,ANTIEPILEPTICS,[],,,Drug: dipropylacetamide | Dosages: [] | Form:  | Route:  | Class: ANTIEPILEPTICS | Subclass: Fatty acid derivatives | Therapeutic: ANTIEPILEPTICS,['rxnorm_complete_drug_classification.csv']
Tiagabine,tiagabine,ANTIEPILEPTICS,Fatty acid derivatives,ANTIEPILEPTICS,[],,,Drug: tiagabine | Dosages: [] | Form:  | Route:  | Class: ANTIEPILEPTICS | Subclass: Fatty acid derivatives | Therapeutic: ANTIEPILEPTICS,['rxnorm_complete_drug_classification.csv']
Progabide,progabide,ANTIEPILEPTICS,Fatty acid derivatives,ANTIEPILEPTICS,[],,,Drug: progabide | Dosages: [] | Form:  | Route:  | Class: ANTIEPILEPTICS | Subclass: Fatty acid derivatives | Therapeutic: ANTIEPILEPTICS,['rxnorm_complete_drug_classification.csv']
Sulthiame,sulthiame,ANTIEPILEPTICS,Other antiepileptics,ANTIEPILEPTICS,[],,,Drug: sulthiame | Dosages: [] | Form:  | Route:  | Class: ANTIEPILEPTICS | Subclass: Other antiepileptics | Therapeutic: ANTIEPILEPTICS,['rxnorm_complete_drug_classification.csv']
Ezogabine,ezogabine,ANTIEPILEPTICS,Other antiepileptics,ANTIEPILEPTICS,[],,,Drug: ezogabine | Dosages: [] | Form:  | Route:  | Class: ANTIEPILEPTICS | Subclass: Other antiepileptics | Therapeutic: ANTIEPILEPTICS,['rxnorm_complete_drug_classification.csv']
Levetiracetam,levetiracetam,ANTIEPILEPTICS,Other antiepileptics,ANTIEPILEPTICS,"['100 mg/ml', '1000 mg', '250 mg', '5 ml', '500 mg', '750 mg']",oral,solution,"Drug: levetiracetam | Dosages: [100 mg/ml, 1000 mg, 250 mg, 5 ml, 500 mg, 750 mg] | Form: solution | Route: oral | Class: ANTIEPILEPTICS | Subclass: Other antiepileptics | Therapeutic: ANTIEPILEPTICS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Perampanel,perampanel,ANTIEPILEPTICS,Other antiepileptics,ANTIEPILEPTICS,[],,,Drug: perampanel | Dosages: [] | Form:  | Route:  | Class: ANTIEPILEPTICS | Subclass: Other antiepileptics | Therapeutic: ANTIEPILEPTICS,['rxnorm_complete_drug_classification.csv']
Brivaracetam,brivaracetam,ANTIEPILEPTICS,Other antiepileptics,ANTIEPILEPTICS,[],,,Drug: brivaracetam | Dosages: [] | Form:  | Route:  | Class: ANTIEPILEPTICS | Subclass: Other antiepileptics | Therapeutic: ANTIEPILEPTICS,['rxnorm_complete_drug_classification.csv']
Beclamide,beclamide,ANTIEPILEPTICS,Other antiepileptics,ANTIEPILEPTICS,[],,,Drug: beclamide | Dosages: [] | Form:  | Route:  | Class: ANTIEPILEPTICS | Subclass: Other antiepileptics | Therapeutic: ANTIEPILEPTICS,['rxnorm_complete_drug_classification.csv']
Cannabidiol,cannabidiol,ANTIEPILEPTICS,Other antiepileptics,ANTIEPILEPTICS,[],,,Drug: cannabidiol | Dosages: [] | Form:  | Route:  | Class: ANTIEPILEPTICS | Subclass: Other antiepileptics | Therapeutic: ANTIEPILEPTICS,['rxnorm_complete_drug_classification.csv']
Stiripentol,stiripentol,ANTIEPILEPTICS,Other antiepileptics,ANTIEPILEPTICS,[],,,Drug: stiripentol | Dosages: [] | Form:  | Route:  | Class: ANTIEPILEPTICS | Subclass: Other antiepileptics | Therapeutic: ANTIEPILEPTICS,['rxnorm_complete_drug_classification.csv']
Cenobamate,cenobamate,ANTIEPILEPTICS,Other antiepileptics,ANTIEPILEPTICS,[],,,Drug: cenobamate | Dosages: [] | Form:  | Route:  | Class: ANTIEPILEPTICS | Subclass: Other antiepileptics | Therapeutic: ANTIEPILEPTICS,['rxnorm_complete_drug_classification.csv']
Felbamate,felbamate,ANTIEPILEPTICS,Other antiepileptics,ANTIEPILEPTICS,"['400 mg', '5 ml', '600 mg']",oral,tablet,"Drug: felbamate | Dosages: [400 mg, 5 ml, 600 mg] | Form: tablet | Route: oral | Class: ANTIEPILEPTICS | Subclass: Other antiepileptics | Therapeutic: ANTIEPILEPTICS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Ganaxolone,ganaxolone,ANTIEPILEPTICS,Other antiepileptics,ANTIEPILEPTICS,[],,,Drug: ganaxolone | Dosages: [] | Form:  | Route:  | Class: ANTIEPILEPTICS | Subclass: Other antiepileptics | Therapeutic: ANTIEPILEPTICS,['rxnorm_complete_drug_classification.csv']
Lamotrigine,lamotrigine,ANTIEPILEPTICS,Other antiepileptics,ANTIEPILEPTICS,"['100 mg', '150 mg', '200 mg', '25 mg', '5 mg']",oral,tablet,"Drug: lamotrigine | Dosages: [100 mg, 150 mg, 200 mg, 25 mg, 5 mg] | Form: tablet | Route: oral | Class: ANTIEPILEPTICS | Subclass: Other antiepileptics | Therapeutic: ANTIEPILEPTICS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Phenacemide,phenacemide,ANTIEPILEPTICS,Other antiepileptics,ANTIEPILEPTICS,[],,,Drug: phenacemide | Dosages: [] | Form:  | Route:  | Class: ANTIEPILEPTICS | Subclass: Other antiepileptics | Therapeutic: ANTIEPILEPTICS,['rxnorm_complete_drug_classification.csv']
Topiramate,topiramate,ANTIEPILEPTICS,Other antiepileptics,ANTIEPILEPTICS,"['100 mg', '15 mg', '200 mg', '25 mg', '50 mg']",oral,tablet,"Drug: topiramate | Dosages: [100 mg, 15 mg, 200 mg, 25 mg, 50 mg] | Form: tablet | Route: oral | Class: ANTIEPILEPTICS | Subclass: Other antiepileptics | Therapeutic: ANTIEPILEPTICS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Zonisamide,zonisamide,ANTIEPILEPTICS,Other antiepileptics,ANTIEPILEPTICS,"['100 mg', '25 mg', '50 mg']",oral,capsule,"Drug: zonisamide | Dosages: [100 mg, 25 mg, 50 mg] | Form: capsule | Route: oral | Class: ANTIEPILEPTICS | Subclass: Other antiepileptics | Therapeutic: ANTIEPILEPTICS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Lacosamide,lacosamide,ANTIEPILEPTICS,Other antiepileptics,ANTIEPILEPTICS,"['10 mg/ml', '100 mg', '150 mg', '200 mg', '50 mg']",oral,solution,"Drug: lacosamide | Dosages: [10 mg/ml, 100 mg, 150 mg, 200 mg, 50 mg] | Form: solution | Route: oral | Class: ANTIEPILEPTICS | Subclass: Other antiepileptics | Therapeutic: ANTIEPILEPTICS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Trihexyphenidyl,trihexyphenidyl,ANTICHOLINERGIC AGENTS,Tertiary amines,ANTI-PARKINSON DRUGS,[],,,Drug: trihexyphenidyl | Dosages: [] | Form:  | Route:  | Class: ANTICHOLINERGIC AGENTS | Subclass: Tertiary amines | Therapeutic: ANTI-PARKINSON DRUGS,['rxnorm_complete_drug_classification.csv']
Biperiden,biperiden,ANTICHOLINERGIC AGENTS,Tertiary amines,ANTI-PARKINSON DRUGS,[],,,Drug: biperiden | Dosages: [] | Form:  | Route:  | Class: ANTICHOLINERGIC AGENTS | Subclass: Tertiary amines | Therapeutic: ANTI-PARKINSON DRUGS,['rxnorm_complete_drug_classification.csv']
Bornaprine,bornaprine,ANTICHOLINERGIC AGENTS,Tertiary amines,ANTI-PARKINSON DRUGS,[],,,Drug: bornaprine | Dosages: [] | Form:  | Route:  | Class: ANTICHOLINERGIC AGENTS | Subclass: Tertiary amines | Therapeutic: ANTI-PARKINSON DRUGS,['rxnorm_complete_drug_classification.csv']
Methixene,methixene,ANTICHOLINERGIC AGENTS,Tertiary amines,ANTI-PARKINSON DRUGS,[],,,Drug: methixene | Dosages: [] | Form:  | Route:  | Class: ANTICHOLINERGIC AGENTS | Subclass: Tertiary amines | Therapeutic: ANTI-PARKINSON DRUGS,['rxnorm_complete_drug_classification.csv']
Dexetimide,dexetimide,ANTICHOLINERGIC AGENTS,Tertiary amines,ANTI-PARKINSON DRUGS,[],,,Drug: dexetimide | Dosages: [] | Form:  | Route:  | Class: ANTICHOLINERGIC AGENTS | Subclass: Tertiary amines | Therapeutic: ANTI-PARKINSON DRUGS,['rxnorm_complete_drug_classification.csv']
Tropatepine,tropatepine,ANTICHOLINERGIC AGENTS,Tertiary amines,ANTI-PARKINSON DRUGS,[],,,Drug: tropatepine | Dosages: [] | Form:  | Route:  | Class: ANTICHOLINERGIC AGENTS | Subclass: Tertiary amines | Therapeutic: ANTI-PARKINSON DRUGS,['rxnorm_complete_drug_classification.csv']
Profenamine,profenamine,ANTICHOLINERGIC AGENTS,Tertiary amines,ANTI-PARKINSON DRUGS,[],,,Drug: profenamine | Dosages: [] | Form:  | Route:  | Class: ANTICHOLINERGIC AGENTS | Subclass: Tertiary amines | Therapeutic: ANTI-PARKINSON DRUGS,['rxnorm_complete_drug_classification.csv']
Procyclidine,procyclidine,ANTICHOLINERGIC AGENTS,Tertiary amines,ANTI-PARKINSON DRUGS,[],,,Drug: procyclidine | Dosages: [] | Form:  | Route:  | Class: ANTICHOLINERGIC AGENTS | Subclass: Tertiary amines | Therapeutic: ANTI-PARKINSON DRUGS,['rxnorm_complete_drug_classification.csv']
Orphenadrine Hydrochloride,orphenadrine hydrochloride,ANTICHOLINERGIC AGENTS,Ethers chemically close to antihistamines,ANTI-PARKINSON DRUGS,[],,,Drug: orphenadrine hydrochloride | Dosages: [] | Form:  | Route:  | Class: ANTICHOLINERGIC AGENTS | Subclass: Ethers chemically close to antihistamines | Therapeutic: ANTI-PARKINSON DRUGS,['rxnorm_complete_drug_classification.csv']
Benztropine,benztropine,ANTICHOLINERGIC AGENTS,Ethers of tropine or tropine derivatives,ANTI-PARKINSON DRUGS,[],,,Drug: benztropine | Dosages: [] | Form:  | Route:  | Class: ANTICHOLINERGIC AGENTS | Subclass: Ethers of tropine or tropine derivatives | Therapeutic: ANTI-PARKINSON DRUGS,['rxnorm_complete_drug_classification.csv']
Levodopa,levodopa,DOPAMINERGIC AGENTS,Dopa and dopa derivatives,ANTI-PARKINSON DRUGS,[],,,Drug: levodopa | Dosages: [] | Form:  | Route:  | Class: DOPAMINERGIC AGENTS | Subclass: Dopa and dopa derivatives | Therapeutic: ANTI-PARKINSON DRUGS,['rxnorm_complete_drug_classification.csv']
Amantadine,amantadine,DOPAMINERGIC AGENTS,Adamantane derivatives,ANTI-PARKINSON DRUGS,[],,,Drug: amantadine | Dosages: [] | Form:  | Route:  | Class: DOPAMINERGIC AGENTS | Subclass: Adamantane derivatives | Therapeutic: ANTI-PARKINSON DRUGS,['rxnorm_complete_drug_classification.csv']
Rotigotine,rotigotine,DOPAMINERGIC AGENTS,Dopamine agonists,ANTI-PARKINSON DRUGS,[],,,Drug: rotigotine | Dosages: [] | Form:  | Route:  | Class: DOPAMINERGIC AGENTS | Subclass: Dopamine agonists | Therapeutic: ANTI-PARKINSON DRUGS,['rxnorm_complete_drug_classification.csv']
Ropinirole,ropinirole,DOPAMINERGIC AGENTS,Dopamine agonists,ANTI-PARKINSON DRUGS,[],,,Drug: ropinirole | Dosages: [] | Form:  | Route:  | Class: DOPAMINERGIC AGENTS | Subclass: Dopamine agonists | Therapeutic: ANTI-PARKINSON DRUGS,['rxnorm_complete_drug_classification.csv']
Pramipexole,pramipexole,DOPAMINERGIC AGENTS,Dopamine agonists,ANTI-PARKINSON DRUGS,[],,,Drug: pramipexole | Dosages: [] | Form:  | Route:  | Class: DOPAMINERGIC AGENTS | Subclass: Dopamine agonists | Therapeutic: ANTI-PARKINSON DRUGS,['rxnorm_complete_drug_classification.csv']
Pergolide,pergolide,DOPAMINERGIC AGENTS,Dopamine agonists,ANTI-PARKINSON DRUGS,[],,,Drug: pergolide | Dosages: [] | Form:  | Route:  | Class: DOPAMINERGIC AGENTS | Subclass: Dopamine agonists | Therapeutic: ANTI-PARKINSON DRUGS,['rxnorm_complete_drug_classification.csv']
Piribedil,piribedil,DOPAMINERGIC AGENTS,Dopamine agonists,ANTI-PARKINSON DRUGS,[],,,Drug: piribedil | Dosages: [] | Form:  | Route:  | Class: DOPAMINERGIC AGENTS | Subclass: Dopamine agonists | Therapeutic: ANTI-PARKINSON DRUGS,['rxnorm_complete_drug_classification.csv']
Rasagiline,rasagiline,DOPAMINERGIC AGENTS,Monoamine oxidase B inhibitors,ANTI-PARKINSON DRUGS,[],,,Drug: rasagiline | Dosages: [] | Form:  | Route:  | Class: DOPAMINERGIC AGENTS | Subclass: Monoamine oxidase B inhibitors | Therapeutic: ANTI-PARKINSON DRUGS,['rxnorm_complete_drug_classification.csv']
Safinamide,safinamide,DOPAMINERGIC AGENTS,Monoamine oxidase B inhibitors,ANTI-PARKINSON DRUGS,[],,,Drug: safinamide | Dosages: [] | Form:  | Route:  | Class: DOPAMINERGIC AGENTS | Subclass: Monoamine oxidase B inhibitors | Therapeutic: ANTI-PARKINSON DRUGS,['rxnorm_complete_drug_classification.csv']
Selegiline,selegiline,DOPAMINERGIC AGENTS,Monoamine oxidase B inhibitors,ANTI-PARKINSON DRUGS,[],,,Drug: selegiline | Dosages: [] | Form:  | Route:  | Class: DOPAMINERGIC AGENTS | Subclass: Monoamine oxidase B inhibitors | Therapeutic: ANTI-PARKINSON DRUGS,['rxnorm_complete_drug_classification.csv']
Budipine,budipine,DOPAMINERGIC AGENTS,Other dopaminergic agents,ANTI-PARKINSON DRUGS,[],,,Drug: budipine | Dosages: [] | Form:  | Route:  | Class: DOPAMINERGIC AGENTS | Subclass: Other dopaminergic agents | Therapeutic: ANTI-PARKINSON DRUGS,['rxnorm_complete_drug_classification.csv']
Opicapone,opicapone,DOPAMINERGIC AGENTS,Other dopaminergic agents,ANTI-PARKINSON DRUGS,[],,,Drug: opicapone | Dosages: [] | Form:  | Route:  | Class: DOPAMINERGIC AGENTS | Subclass: Other dopaminergic agents | Therapeutic: ANTI-PARKINSON DRUGS,['rxnorm_complete_drug_classification.csv']
Entacapone,entacapone,DOPAMINERGIC AGENTS,Other dopaminergic agents,ANTI-PARKINSON DRUGS,['200 mg'],oral,tablet,Drug: entacapone | Dosages: [200 mg] | Form: tablet | Route: oral | Class: DOPAMINERGIC AGENTS | Subclass: Other dopaminergic agents | Therapeutic: ANTI-PARKINSON DRUGS,"['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Tolcapone,tolcapone,DOPAMINERGIC AGENTS,Other dopaminergic agents,ANTI-PARKINSON DRUGS,['100 mg'],oral,tablet,Drug: tolcapone | Dosages: [100 mg] | Form: tablet | Route: oral | Class: DOPAMINERGIC AGENTS | Subclass: Other dopaminergic agents | Therapeutic: ANTI-PARKINSON DRUGS,"['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Istradefylline,istradefylline,OTHER ANTIPARKINSON DRUGS,Other antiparkinson drugs,ANTI-PARKINSON DRUGS,[],,,Drug: istradefylline | Dosages: [] | Form:  | Route:  | Class: OTHER ANTIPARKINSON DRUGS | Subclass: Other antiparkinson drugs | Therapeutic: ANTI-PARKINSON DRUGS,['rxnorm_complete_drug_classification.csv']
Triflupromazine,triflupromazine,ANTIPSYCHOTICS,Phenothiazines with aliphatic side-chain,PSYCHOLEPTICS,[],,,Drug: triflupromazine | Dosages: [] | Form:  | Route:  | Class: ANTIPSYCHOTICS | Subclass: Phenothiazines with aliphatic side-chain | Therapeutic: PSYCHOLEPTICS,['rxnorm_complete_drug_classification.csv']
Acepromazine,acepromazine,ANTIPSYCHOTICS,Phenothiazines with aliphatic side-chain,PSYCHOLEPTICS,[],,,Drug: acepromazine | Dosages: [] | Form:  | Route:  | Class: ANTIPSYCHOTICS | Subclass: Phenothiazines with aliphatic side-chain | Therapeutic: PSYCHOLEPTICS,['rxnorm_complete_drug_classification.csv']
Cyamemazine,cyamemazine,ANTIPSYCHOTICS,Phenothiazines with aliphatic side-chain,PSYCHOLEPTICS,[],,,Drug: cyamemazine | Dosages: [] | Form:  | Route:  | Class: ANTIPSYCHOTICS | Subclass: Phenothiazines with aliphatic side-chain | Therapeutic: PSYCHOLEPTICS,['rxnorm_complete_drug_classification.csv']
Chlorpromazine,chlorpromazine,ANTIPSYCHOTICS,Phenothiazines with aliphatic side-chain,PSYCHOLEPTICS,[],,,Drug: chlorpromazine | Dosages: [] | Form:  | Route:  | Class: ANTIPSYCHOTICS | Subclass: Phenothiazines with aliphatic side-chain | Therapeutic: PSYCHOLEPTICS,['rxnorm_complete_drug_classification.csv']
Chlorproethazine,chlorproethazine,ANTIPSYCHOTICS,Phenothiazines with aliphatic side-chain,PSYCHOLEPTICS,[],,,Drug: chlorproethazine | Dosages: [] | Form:  | Route:  | Class: ANTIPSYCHOTICS | Subclass: Phenothiazines with aliphatic side-chain | Therapeutic: PSYCHOLEPTICS,['rxnorm_complete_drug_classification.csv']
Methotrimeprazine,methotrimeprazine,ANTIPSYCHOTICS,Phenothiazines with aliphatic side-chain,PSYCHOLEPTICS,[],,,Drug: methotrimeprazine | Dosages: [] | Form:  | Route:  | Class: ANTIPSYCHOTICS | Subclass: Phenothiazines with aliphatic side-chain | Therapeutic: PSYCHOLEPTICS,['rxnorm_complete_drug_classification.csv']
Promazine,promazine,ANTIPSYCHOTICS,Phenothiazines with aliphatic side-chain,PSYCHOLEPTICS,[],,,Drug: promazine | Dosages: [] | Form:  | Route:  | Class: ANTIPSYCHOTICS | Subclass: Phenothiazines with aliphatic side-chain | Therapeutic: PSYCHOLEPTICS,['rxnorm_complete_drug_classification.csv']
Thioproperazine,thioproperazine,ANTIPSYCHOTICS,Phenothiazines with piperazine structure,PSYCHOLEPTICS,[],,,Drug: thioproperazine | Dosages: [] | Form:  | Route:  | Class: ANTIPSYCHOTICS | Subclass: Phenothiazines with piperazine structure | Therapeutic: PSYCHOLEPTICS,['rxnorm_complete_drug_classification.csv']
Trifluoperazine,trifluoperazine,ANTIPSYCHOTICS,Phenothiazines with piperazine structure,PSYCHOLEPTICS,[],,,Drug: trifluoperazine | Dosages: [] | Form:  | Route:  | Class: ANTIPSYCHOTICS | Subclass: Phenothiazines with piperazine structure | Therapeutic: PSYCHOLEPTICS,['rxnorm_complete_drug_classification.csv']
Acetophenazine,acetophenazine,ANTIPSYCHOTICS,Phenothiazines with piperazine structure,PSYCHOLEPTICS,[],,,Drug: acetophenazine | Dosages: [] | Form:  | Route:  | Class: ANTIPSYCHOTICS | Subclass: Phenothiazines with piperazine structure | Therapeutic: PSYCHOLEPTICS,['rxnorm_complete_drug_classification.csv']
Thiopropazate,thiopropazate,ANTIPSYCHOTICS,Phenothiazines with piperazine structure,PSYCHOLEPTICS,[],,,Drug: thiopropazate | Dosages: [] | Form:  | Route:  | Class: ANTIPSYCHOTICS | Subclass: Phenothiazines with piperazine structure | Therapeutic: PSYCHOLEPTICS,['rxnorm_complete_drug_classification.csv']
Fluphenazine,fluphenazine,ANTIPSYCHOTICS,Phenothiazines with piperazine structure,PSYCHOLEPTICS,[],,,Drug: fluphenazine | Dosages: [] | Form:  | Route:  | Class: ANTIPSYCHOTICS | Subclass: Phenothiazines with piperazine structure | Therapeutic: PSYCHOLEPTICS,['rxnorm_complete_drug_classification.csv']
Perazine,perazine,ANTIPSYCHOTICS,Phenothiazines with piperazine structure,PSYCHOLEPTICS,[],,,Drug: perazine | Dosages: [] | Form:  | Route:  | Class: ANTIPSYCHOTICS | Subclass: Phenothiazines with piperazine structure | Therapeutic: PSYCHOLEPTICS,['rxnorm_complete_drug_classification.csv']
Perphenazine,perphenazine,ANTIPSYCHOTICS,Phenothiazines with piperazine structure,PSYCHOLEPTICS,"['16 mg', '2 mg', '4 mg', '8 mg']",oral,tablet,"Drug: perphenazine | Dosages: [16 mg, 2 mg, 4 mg, 8 mg] | Form: tablet | Route: oral | Class: ANTIPSYCHOTICS | Subclass: Phenothiazines with piperazine structure | Therapeutic: PSYCHOLEPTICS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Prochlorperazine,prochlorperazine,ANTIPSYCHOTICS,Phenothiazines with piperazine structure,PSYCHOLEPTICS,['25 mg'],rectal,suppository,Drug: prochlorperazine | Dosages: [25 mg] | Form: suppository | Route: rectal | Class: ANTIPSYCHOTICS | Subclass: Phenothiazines with piperazine structure | Therapeutic: PSYCHOLEPTICS,"['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Thioridazine,thioridazine,ANTIPSYCHOTICS,Phenothiazines with piperidine structure,PSYCHOLEPTICS,[],,,Drug: thioridazine | Dosages: [] | Form:  | Route:  | Class: ANTIPSYCHOTICS | Subclass: Phenothiazines with piperidine structure | Therapeutic: PSYCHOLEPTICS,['rxnorm_complete_drug_classification.csv']
Mesoridazine,mesoridazine,ANTIPSYCHOTICS,Phenothiazines with piperidine structure,PSYCHOLEPTICS,[],,,Drug: mesoridazine | Dosages: [] | Form:  | Route:  | Class: ANTIPSYCHOTICS | Subclass: Phenothiazines with piperidine structure | Therapeutic: PSYCHOLEPTICS,['rxnorm_complete_drug_classification.csv']
Pipothiazine,pipothiazine,ANTIPSYCHOTICS,Phenothiazines with piperidine structure,PSYCHOLEPTICS,[],,,Drug: pipothiazine | Dosages: [] | Form:  | Route:  | Class: ANTIPSYCHOTICS | Subclass: Phenothiazines with piperidine structure | Therapeutic: PSYCHOLEPTICS,['rxnorm_complete_drug_classification.csv']
Periciazine,periciazine,ANTIPSYCHOTICS,Phenothiazines with piperidine structure,PSYCHOLEPTICS,[],,,Drug: periciazine | Dosages: [] | Form:  | Route:  | Class: ANTIPSYCHOTICS | Subclass: Phenothiazines with piperidine structure | Therapeutic: PSYCHOLEPTICS,['rxnorm_complete_drug_classification.csv']
Trifluperidol,trifluperidol,ANTIPSYCHOTICS,Butyrophenone derivatives,PSYCHOLEPTICS,[],,,Drug: trifluperidol | Dosages: [] | Form:  | Route:  | Class: ANTIPSYCHOTICS | Subclass: Butyrophenone derivatives | Therapeutic: PSYCHOLEPTICS,['rxnorm_complete_drug_classification.csv']
Benperidol,benperidol,ANTIPSYCHOTICS,Butyrophenone derivatives,PSYCHOLEPTICS,[],,,Drug: benperidol | Dosages: [] | Form:  | Route:  | Class: ANTIPSYCHOTICS | Subclass: Butyrophenone derivatives | Therapeutic: PSYCHOLEPTICS,['rxnorm_complete_drug_classification.csv']
Bromperidol,bromperidol,ANTIPSYCHOTICS,Butyrophenone derivatives,PSYCHOLEPTICS,[],,,Drug: bromperidol | Dosages: [] | Form:  | Route:  | Class: ANTIPSYCHOTICS | Subclass: Butyrophenone derivatives | Therapeutic: PSYCHOLEPTICS,['rxnorm_complete_drug_classification.csv']
Lumateperone,lumateperone,ANTIPSYCHOTICS,Butyrophenone derivatives,PSYCHOLEPTICS,[],,,Drug: lumateperone | Dosages: [] | Form:  | Route:  | Class: ANTIPSYCHOTICS | Subclass: Butyrophenone derivatives | Therapeutic: PSYCHOLEPTICS,['rxnorm_complete_drug_classification.csv']
Metylperon,metylperon,ANTIPSYCHOTICS,Butyrophenone derivatives,PSYCHOLEPTICS,[],,,Drug: metylperon | Dosages: [] | Form:  | Route:  | Class: ANTIPSYCHOTICS | Subclass: Butyrophenone derivatives | Therapeutic: PSYCHOLEPTICS,['rxnorm_complete_drug_classification.csv']
Pipamperone,pipamperone,ANTIPSYCHOTICS,Butyrophenone derivatives,PSYCHOLEPTICS,[],,,Drug: pipamperone | Dosages: [] | Form:  | Route:  | Class: ANTIPSYCHOTICS | Subclass: Butyrophenone derivatives | Therapeutic: PSYCHOLEPTICS,['rxnorm_complete_drug_classification.csv']
Droperidol,droperidol,ANTIPSYCHOTICS,Butyrophenone derivatives,PSYCHOLEPTICS,['2.5 mg/ml'],,injection,Drug: droperidol | Dosages: [2.5 mg/ml] | Form: injection | Route:  | Class: ANTIPSYCHOTICS | Subclass: Butyrophenone derivatives | Therapeutic: PSYCHOLEPTICS,"['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
