ingredient_rxcui,primary_drug_name,therapeutic_class_l2,drug_class_l3,drug_subclass_l4
2197862,entrectinib,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,Other protein kinase inhibitors
2272107,avapritinib,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,Other protein kinase inhibitors
2362165,capmatinib,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,Other protein kinase inhibitors
2369389,ripretinib,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,Other protein kinase inhibitors
2370147,selpercatinib,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,Other protein kinase inhibitors
2394936,pralsetinib,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,Other protein kinase inhibitors
2477103,tepotinib,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,Other protein kinase inhibitors
2478439,umbralisib,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,Other protein kinase inhibitors
2643048,quizartinib,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,Other protein kinase inhibitors
2669967,capivasertib,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,Other protein kinase inhibitors
2670644,repotrectinib,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,Other protein kinase inhibitors
357977,sunitinib,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,Other protein kinase inhibitors
495881,sorafenib,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,Other protein kinase inhibitors
714438,pazopanib,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,Other protein kinase inhibitors
121191,rituximab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,CD20 (Clusters of Differentiation 20) inhibitors
712566,ofatumumab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,CD20 (Clusters of Differentiation 20) inhibitors
974779,obinutuzumab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,CD20 (Clusters of Differentiation 20) inhibitors
1942950,inotuzumab ozogamicin,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,CD22 (Clusters of Differentiation 22) inhibitors
2099295,moxetumomab pasudotox,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,CD22 (Clusters of Differentiation 22) inhibitors
1721947,daratumumab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,CD38 (Clusters of Differentiation 38) inhibitors
2282018,isatuximab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,CD38 (Clusters of Differentiation 38) inhibitors
1298944,pertuzumab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,HER2 (Human Epidermal Growth Factor Receptor 2) inhibitors
224905,trastuzumab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,HER2 (Human Epidermal Growth Factor Receptor 2) inhibitors
2473851,margetuximab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,HER2 (Human Epidermal Growth Factor Receptor 2) inhibitors
2698198,zanidatamab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,HER2 (Human Epidermal Growth Factor Receptor 2) inhibitors
1723738,necitumumab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,EGFR (Epidermal Growth Factor Receptor) inhibitors
263034,panitumumab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,EGFR (Epidermal Growth Factor Receptor) inhibitors
318341,cetuximab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,EGFR (Epidermal Growth Factor Receptor) inhibitors
1547545,pembrolizumab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,PD-1/PD-L1 (Programmed cell death protein 1/death ligand 1) inhibitors
1597876,nivolumab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,PD-1/PD-L1 (Programmed cell death protein 1/death ligand 1) inhibitors
1792776,atezolizumab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,PD-1/PD-L1 (Programmed cell death protein 1/death ligand 1) inhibitors
1875534,avelumab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,PD-1/PD-L1 (Programmed cell death protein 1/death ligand 1) inhibitors
1919503,durvalumab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,PD-1/PD-L1 (Programmed cell death protein 1/death ligand 1) inhibitors
2058826,cemiplimab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,PD-1/PD-L1 (Programmed cell death protein 1/death ligand 1) inhibitors
2539967,dostarlimab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,PD-1/PD-L1 (Programmed cell death protein 1/death ligand 1) inhibitors
2632981,retifanlimab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,PD-1/PD-L1 (Programmed cell death protein 1/death ligand 1) inhibitors
2669406,toripalimab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,PD-1/PD-L1 (Programmed cell death protein 1/death ligand 1) inhibitors
2677426,tislelizumab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,PD-1/PD-L1 (Programmed cell death protein 1/death ligand 1) inhibitors
1535922,ramucirumab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,VEGF/VEGFR (Vascular Endothelial Growth Factor / -Receptor) inhibitors
253337,bevacizumab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,VEGF/VEGFR (Vascular Endothelial Growth Factor / -Receptor) inhibitors
1094833,ipilimumab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Other monoclonal antibodies and antibody drug conjugates
1147320,brentuximab vedotin,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Other monoclonal antibodies and antibody drug conjugates
1294580,gemtuzumab ozogamicin,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Other monoclonal antibodies and antibody drug conjugates
1597258,blinatumomab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Other monoclonal antibodies and antibody drug conjugates
1726104,elotuzumab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Other monoclonal antibodies and antibody drug conjugates
1855735,olaratumab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Other monoclonal antibodies and antibody drug conjugates
2054068,mogamulizumab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Other monoclonal antibodies and antibody drug conjugates
2174090,polatuzumab vedotin,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Other monoclonal antibodies and antibody drug conjugates
2387211,tafasitamab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Other monoclonal antibodies and antibody drug conjugates
2387834,belantamab mafodotin,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Other monoclonal antibodies and antibody drug conjugates
2474039,naxitamab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Other monoclonal antibodies and antibody drug conjugates
2540964,loncastuximab tesirine,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Other monoclonal antibodies and antibody drug conjugates
2549199,amivantamab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Other monoclonal antibodies and antibody drug conjugates
2619313,tremelimumab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Other monoclonal antibodies and antibody drug conjugates
2619426,teclistamab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Other monoclonal antibodies and antibody drug conjugates
2621548,mirvetuximab soravtansine,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Other monoclonal antibodies and antibody drug conjugates
2625122,mosunetuzumab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Other monoclonal antibodies and antibody drug conjugates
2637392,epcoritamab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Other monoclonal antibodies and antibody drug conjugates
2639782,glofitamab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Other monoclonal antibodies and antibody drug conjugates
2644447,talquetamab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Other monoclonal antibodies and antibody drug conjugates
2644880,elranatamab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Other monoclonal antibodies and antibody drug conjugates
2682954,tarlatamab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Other monoclonal antibodies and antibody drug conjugates
2695869,zolbetuximab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Other monoclonal antibodies and antibody drug conjugates
2703033,datopotamab deruxtecan,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Other monoclonal antibodies and antibody drug conjugates
80726,edrecolomab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Other monoclonal antibodies and antibody drug conjugates
2596775,nivolumab / relatlimab,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,Combinations of monoclonal antibodies and antibody drug conjugates
1733681,satraplatin,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Platinum compounds
2555,cisplatin,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Platinum compounds
32592,oxaliplatin,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Platinum compounds
40048,carboplatin,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Platinum compounds
8702,procarbazine,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Methylhydrazines
115243,temoporfin,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Sensitizers used in photodynamic/radiation therapy
337068,methyl 5-aminolevulinate,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Sensitizers used in photodynamic/radiation therapy
683,aminolevulinic acid,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Sensitizers used in photodynamic/radiation therapy
10753,tretinoin,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Retinoids for cancer treatment
233272,bexarotene,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Retinoids for cancer treatment
81864,alitretinoin,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Retinoids for cancer treatment
1302966,carfilzomib,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Proteasome inhibitors
1723735,ixazomib,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Proteasome inhibitors
358258,bortezomib,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Proteasome inhibitors
1543543,belinostat,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Histone deacetylase (HDAC) inhibitors
1603350,panobinostat,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Histone deacetylase (HDAC) inhibitors
194337,vorinostat,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Histone deacetylase (HDAC) inhibitors
877510,romidepsin,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Histone deacetylase (HDAC) inhibitors
1242987,vismodegib,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Hedgehog pathway inhibitors
1659191,sonidegib,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Hedgehog pathway inhibitors
2105845,glasdegib,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Hedgehog pathway inhibitors
1597582,olaparib,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Poly (ADP-ribose) polymerase (PARP) inhibitors
1862579,rucaparib,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Poly (ADP-ribose) polymerase (PARP) inhibitors
1918231,niraparib,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Poly (ADP-ribose) polymerase (PARP) inhibitors
2099704,talazoparib,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Poly (ADP-ribose) polymerase (PARP) inhibitors
1986438,tisagenlecleucel,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Antineoplastic cell and gene therapy
1987398,axicabtagene ciloleucel,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Antineoplastic cell and gene therapy
2387277,brexucabtagene autoleucel,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Antineoplastic cell and gene therapy
2479136,lisocabtagene maraleucel,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Antineoplastic cell and gene therapy
2536430,idecabtagene vicleucel,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Antineoplastic cell and gene therapy
2594775,ciltacabtagene autoleucel,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Antineoplastic cell and gene therapy
2644436,nadofaragene firadenovec,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Antineoplastic cell and gene therapy
2675860,lifileucel,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Antineoplastic cell and gene therapy
2698195,obecabtagene autoleucel,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Antineoplastic cell and gene therapy
1940332,enasidenib,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Isocitrate dehydrogenase (IDH) inhibitors
2049873,ivosidenib,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Isocitrate dehydrogenase (IDH) inhibitors
2623641,olutasidenib,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Isocitrate dehydrogenase (IDH) inhibitors
2690647,vorasidenib,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Isocitrate dehydrogenase (IDH) inhibitors
1045453,eribulin,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
1156,asparaginase,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
1232150,aflibercept,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
140587,celecoxib,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
1747556,venetoclax,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
18330,arsenic trioxide,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
2109055,tagraxofusp,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
2121416,calaspargase pegol,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
214470,denileukin diftitox,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
2178390,selinexor,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
227239,masoprocol,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
2274378,tazemetostat,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
2374729,lurbinectedin,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
2550714,sotorasib,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
2567226,belzutifan,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
2590743,tebentafusp,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
2625882,adagrasib,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
2670631,nirogacestat,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
2685236,imetelstat,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
27100,omacetaxine mepesuccinate,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
34132,pegaspargase,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
4089,estramustine,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
5296,altretamine,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
5552,hydroxyurea,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
569,eflornithine,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
596724,anagrelide,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
7004,mitotane,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
739,amsacrine,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
8011,pentostatin,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
2017575,cytarabine / daunorubicin,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Combinations of antineoplastic agents
25284,fosfestrol,ENDOCRINE THERAPY,HORMONES AND RELATED AGENTS,Estrogens
3390,diethylstilbestrol,ENDOCRINE THERAPY,HORMONES AND RELATED AGENTS,Estrogens
4124,ethinyl estradiol,ENDOCRINE THERAPY,HORMONES AND RELATED AGENTS,Estrogens
4793,gestronol,ENDOCRINE THERAPY,HORMONES AND RELATED AGENTS,Progestogens
6691,medroxyprogesterone,ENDOCRINE THERAPY,HORMONES AND RELATED AGENTS,Progestogens
6703,megestrol,ENDOCRINE THERAPY,HORMONES AND RELATED AGENTS,Progestogens
1825,buserelin,ENDOCRINE THERAPY,HORMONES AND RELATED AGENTS,Gonadotropin releasing hormone analogues
38782,triptorelin,ENDOCRINE THERAPY,HORMONES AND RELATED AGENTS,Gonadotropin releasing hormone analogues
42375,leuprolide,ENDOCRINE THERAPY,HORMONES AND RELATED AGENTS,Gonadotropin releasing hormone analogues
50610,goserelin,ENDOCRINE THERAPY,HORMONES AND RELATED AGENTS,Gonadotropin releasing hormone analogues
50975,histrelin,ENDOCRINE THERAPY,HORMONES AND RELATED AGENTS,Gonadotropin releasing hormone analogues
10324,tamoxifen,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,Anti-estrogens
2628469,elacestrant,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,Anti-estrogens
282357,fulvestrant,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,Anti-estrogens
38409,toremifene,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,Anti-estrogens
1307298,enzalutamide,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,Anti-androgens
1999574,apalutamide,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,Anti-androgens
2180325,darolutamide,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,Anti-androgens
31805,nilutamide,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,Anti-androgens
4508,flutamide,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,Anti-androgens
83008,bicalutamide,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,Anti-androgens
15070,formestane,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,Aromatase inhibitors
258494,exemestane,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,Aromatase inhibitors
677,aminoglutethimide,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,Aromatase inhibitors
72965,letrozole,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,Aromatase inhibitors
84857,anastrozole,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,Aromatase inhibitors
1100072,abiraterone,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,Other hormone antagonists and related agents
2472778,relugolix,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,Other hormone antagonists and related agents
301739,abarelix,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,Other hormone antagonists and related agents
475230,degarelix,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,Other hormone antagonists and related agents
140502,ancestim,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Colony stimulating factors
1440046,lipegfilgrastim,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Colony stimulating factors
2612526,eflapegrastim,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Colony stimulating factors
2670630,efbemalenograstim alfa,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Colony stimulating factors
338036,pegfilgrastim,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Colony stimulating factors
68442,filgrastim,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Colony stimulating factors
69634,sargramostim,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Colony stimulating factors
70161,molgramostim,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Colony stimulating factors
70167,lenograstim,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Colony stimulating factors
120608,peginterferon alfa-2a,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Interferons
1421648,gamma-interferon,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Interferons
1546168,peginterferon beta-1a,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Interferons
202912,interferon alfa-n1,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Interferons
253453,peginterferon alfa-2b,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Interferons
2587059,ropeginterferon alfa-2b,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Interferons
4381,interferon-beta,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Interferons
5879,interferon alfa-2a,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Interferons
5880,interferon alfa-2b,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Interferons
59744,interferon alfacon-1,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Interferons
72257,interferon beta-1b,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Interferons
75917,interferon beta-1a,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Interferons
139994,oprelvekin,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Interleukins
70223,aldesleukin,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Interleukins
2059219,elapegademase,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Other immunostimulants
2633005,leniolisib,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Other immunostimulants
2664896,motixafortide,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Other immunostimulants
2684021,mavorixafor,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Other immunostimulants
283746,tasonermin,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Other immunostimulants
40230,thymopentin,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Other immunostimulants
40450,pidotimod,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Other immunostimulants
59768,pegademase bovine,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Other immunostimulants
733003,plerixafor,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Other immunostimulants
997261,sipuleucel-T,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Other immunostimulants
1112973,belatacept,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,Selective immunosuppressants
1311600,abetimus,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,Selective immunosuppressants
1492727,apremilast,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,Selective immunosuppressants
2564025,belumosudil,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,Selective immunosuppressants
2587717,efgartigimod alfa,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,Selective immunosuppressants
299635,alefacept,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,Selective immunosuppressants
44157,cladribine,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,Selective immunosuppressants
614391,abatacept,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,Selective immunosuppressants
7145,mycophenolic acid,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,Selective immunosuppressants
